AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A698940,,3/21/15 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,24,3
A666074,Jackson,10/30/13 15:14,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,1,10
A675549,Marco,4/8/14 15:29,Transfer,Partner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown,48,4
A682131,,6/24/14 19:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,6
A674737,Byron,5/27/14 8:21,Adoption,Foster,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,2,5
A719876,Oreo,2/2/16 15:58,Transfer,Partner,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black,12,2
A676626,Pia,5/30/14 16:54,Adoption,Foster,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White,2,5
A666478,Bleu,11/4/13 17:51,Adoption,,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White,12,11
A683507,,7/15/14 17:26,Adoption,,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff,36,7
A487470,Midnight,1/20/14 18:40,Euthanasia,Aggressive,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black,108,1
A665661,Julia,9/7/15 15:05,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black,24,9
A668260,,12/2/13 14:10,Transfer,Partner,Dog,Spayed Female,5 years,Great Dane,Black/White,60,12
A716964,Rello,11/29/15 18:11,Return_to_owner,,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White,24,11
A701029,Bode,5/1/15 11:04,Return_to_owner,,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown,24,5
A668506,Jake,11/3/15 16:40,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd,Brown/Black,84,11
A684709,,7/28/14 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,12,7
A616229,Rebecca,11/21/15 15:21,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White,72,11
A680336,Buddy,7/12/14 20:04,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,2,7
A701898,Anita,5/10/15 18:38,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black,12,5
A666971,,11/14/13 17:14,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White,2,11
A691605,Daisy,11/8/14 14:41,Return_to_owner,,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle,72,11
A703244,,5/26/15 16:02,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,5
A705111,Kiki,6/24/15 15:25,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black,24,6
A685460,Jerrid,8/19/14 18:25,Adoption,,Cat,Neutered Male,7 years,Siamese Mix,Flame Point,84,8
A716890,Vidalia,12/6/15 12:41,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,3,12
A715741,Simba,11/19/15 18:45,Adoption,,Dog,Neutered Male,3 years,Chow Chow Mix,Red,36,11
A676334,,4/22/14 15:35,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black,24,4
A668122,,12/1/13 17:58,Adoption,,Dog,Spayed Female,7 years,English Pointer,Liver/White,84,12
A702356,,5/24/15 17:25,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby,1,5
A664842,June,11/9/13 19:21,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,24,11
A709067,Earlene,8/5/15 0:00,Return_to_owner,,Dog,Intact Female,5 months,Boxer Mix,Black/White,5,8
A608918,Vader,6/2/15 11:56,Transfer,Partner,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White,48,6
A651596,Brownie,3/6/14 17:13,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff,24,3
A720190,Little Missy,2/7/16 0:00,Transfer,Partner,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor,84,2
A676609,Buddy,7/6/14 12:46,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown,12,7
A666504,,12/11/13 12:49,Transfer,Partner,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,1,12
A693272,Kodiak,1/31/15 13:33,Adoption,,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown,1,1
A711607,Bosco,9/20/15 14:50,Adoption,,Cat,Neutered Male,2 months,Manx Mix,White/Black,2,9
A713337,,10/6/15 9:00,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue,36,10
A672758,Daisy,7/16/14 13:48,Transfer,Partner,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White,48,7
A658690,Priscilla,10/19/13 12:58,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,12,10
A708390,Stella,8/2/15 18:49,Adoption,,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White,24,8
A703383,Dharma,5/28/15 15:25,Transfer,Partner,Dog,Spayed Female,10 years,Cocker Spaniel,Buff,120,5
A689749,Taco,10/18/14 16:55,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,10
A699816,Pebbles,4/11/15 18:01,Adoption,,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan,120,4
A701791,Arwen,7/19/15 14:37,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White,24,7
A625690,Rainey,7/21/14 11:09,Return_to_owner,,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black,84,7
A686406,,8/25/14 17:12,Adoption,,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black,12,8
A710318,Tank,9/17/15 13:48,Transfer,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White,60,9
A698972,Kiki,3/23/15 17:50,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray,72,3
A710380,,8/22/15 15:44,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby,0.25,8
A683309,,7/17/14 18:06,Euthanasia,Behavior,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White,84,7
A640316,Kato,10/2/13 17:43,Adoption,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black,12,10
A682760,Jasper,7/10/14 12:48,Adoption,,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown,12,7
A701707,,5/3/15 17:24,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.5,5
A669534,,12/24/13 15:03,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,12,12
A588218,Roger,12/3/14 14:24,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Black/Brown,60,12
A669795,Roxi,8/11/14 11:12,Return_to_owner,,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan,24,8
A674448,Hedwig,3/18/14 17:04,Adoption,,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream,10,3
A701647,,5/25/15 14:15,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black,3,5
A672467,Apollo,2/14/14 18:59,Adoption,,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White,9,2
A712244,,9/21/15 15:57,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,1,9
A677462,,4/25/14 15:17,Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Blue,0,4
A715761,,11/10/15 9:00,Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico,60,11
A720860,,2/20/16 21:16,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White,8,2
A701337,,4/30/15 14:43,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream,12,4
A710881,Ruth,10/14/15 10:12,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,2,10
A663948,Pumpkin,10/8/13 17:23,Return_to_owner,,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,3,10
A699819,Coco,4/6/15 15:37,Return_to_owner,,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White,168,4
A674638,Sam,3/16/14 10:48,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate,84,3
A718743,Newton,1/10/16 11:36,Adoption,,Dog,Neutered Male,2 years,Shih Tzu,Gray/White,24,1
A714820,Lizzie,11/5/15 0:00,Transfer,Partner,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle,6,11
A667613,Orion,1/13/14 15:18,Adoption,,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White,11,1
A696059,Chewy,2/5/15 14:28,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,36,2
A690806,Hailey,11/7/14 13:36,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Black/White,2,11
A676494,Jimmy,4/27/14 15:11,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White,12,4
A689138,,9/29/14 18:28,Euthanasia,Suffering,Cat,Intact Female,4 weeks,Siamese Mix,Blue Point,1,9
A599155,Machete,3/28/15 19:25,Euthanasia,Suffering,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown,48,3
A665587,Cheddar,11/27/13 14:36,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Orange Tabby,96,11
A663555,Amelia,10/16/13 17:01,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico,3,10
A691345,Jelly Bean,11/9/14 14:47,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White,2,11
A685242,,8/15/14 12:54,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie,4,8
A674659,,3/21/14 17:10,Euthanasia,Aggressive,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black,24,3
A683609,Rascal,7/17/14 17:50,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Brown,72,7
A695710,Layla,8/2/15 13:17,Transfer,Partner,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White,11,8
A713063,,10/8/15 16:26,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White,12,10
A667520,,11/23/13 16:00,Transfer,Partner,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White,48,11
A685145,Mundy,9/13/14 14:10,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White,2,9
A716488,,11/23/15 0:00,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Red,24,11
A667537,,11/25/13 17:07,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black,2,11
A694601,Barnaby,1/6/15 18:37,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black,6,1
A638060,Noah,8/16/15 17:38,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White,96,8
A672067,Jesse,2/13/14 17:36,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby,36,2
A684664,Leo,8/10/14 17:25,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,24,8
A691531,,11/7/14 17:15,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown,2,11
A688600,,9/21/14 13:21,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,0.75,9
A704032,Madison,6/5/15 14:31,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,6
A703630,Sheldon,6/30/15 7:01,Adoption,Foster,Dog,Neutered Male,4 years,German Shepherd Mix,Brown,48,6
A668671,Chris,12/16/13 14:57,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White,60,12
A696247,Jillian,11/22/15 13:47,Adoption,,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White,24,11
A664380,,10/3/13 15:33,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico,6,10
A678185,,5/9/14 19:30,Transfer,Partner,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray,24,5
A687055,Lizzie,9/1/14 10:39,Return_to_owner,,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable,120,9
A693594,,12/12/14 9:00,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White,6,12
A675563,Socks,4/1/14 12:19,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico,2,4
A696819,Captain,2/21/15 17:30,Adoption,,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable,6,2
A671201,Pablito,1/25/14 18:34,Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor,96,1
A715573,,11/12/15 12:36,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff,6,11
A685899,,8/14/14 17:23,Transfer,Partner,Cat,Intact Male,3 months,Siamese Mix,Seal Point,3,8
A669510,Kimchi,1/1/14 18:45,Adoption,,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan,12,1
A697892,Bella,3/16/15 17:38,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black,12,3
A678958,Ares,5/19/14 18:05,Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Tricolor,2,5
A679113,,5/16/14 18:37,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby,0.5,5
A671079,,1/25/14 18:09,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,24,1
A687180,,9/8/14 11:53,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White,2,9
A686632,Sammy,9/2/14 11:23,Return_to_owner,,Cat,Neutered Male,9 months,Domestic Shorthair Mix,White/Brown Tabby,9,9
A693999,,12/23/14 14:58,Transfer,Partner,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White,48,12
A691614,Challino,11/12/14 18:27,Adoption,,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White,4,11
A683070,,7/6/14 18:33,Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,White,0.1,7
A703781,Romeo,5/30/15 15:30,Transfer,Partner,Dog,Intact Male,6 years,Dachshund,Blue Merle/White,72,5
A668803,Dumpling,1/11/14 17:42,Adoption,Foster,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White,2,1
A675983,,4/3/14 15:19,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby,8,4
A684825,Carl,8/6/14 14:23,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,1,8
A667828,,11/26/13 14:55,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black,4,11
A707611,Belle,7/31/15 12:56,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie,2,7
A677885,Lil' Mama,5/12/14 14:05,Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,Fawn,24,5
A675622,,4/4/14 15:30,Adoption,,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor,4,4
A720143,,2/8/16 19:23,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,12,2
A701793,,7/16/15 11:09,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point/White,3,7
A682824,,7/8/14 14:48,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,2,7
A711494,Celeste,12/24/15 10:12,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White,4,12
A686319,Jack,6/14/15 12:01,Adoption,,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle,60,6
A671251,Buffy,1/23/14 14:06,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White,24,1
A684978,,7/31/14 13:22,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.5,7
A689449,Bizzy,11/18/14 11:32,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,2,11
A715812,,11/15/15 18:01,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White,10,11
A681003,,6/17/14 13:27,Transfer,Partner,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White,24,6
A715346,Molina,11/9/15 17:02,Adoption,,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White,10,11
A683732,,7/25/14 16:48,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue,1,7
A679956,Simon,6/8/14 16:49,Return_to_owner,,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black,12,6
A695297,Sparkles,1/19/15 17:53,Adoption,,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby/White,7,1
A695950,Laurel,2/13/15 14:49,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,24,2
A694278,Mya,1/2/15 16:50,Transfer,Partner,Dog,Spayed Female,7 years,Great Dane,Black/White,84,1
A707887,Firefly,7/22/15 18:37,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,7
A710227,Sebastian,8/24/15 18:23,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White,144,8
A686918,Aimee,9/2/14 14:51,Transfer,Partner,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor,36,9
A693739,Lily,12/19/14 11:23,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,3,12
A711807,Lola,10/23/15 18:07,Adoption,,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White,24,10
A677157,Sadie,4/22/14 16:02,Return_to_owner,,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow,144,4
A697921,Pi,3/16/15 12:10,Adoption,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black,12,3
A686691,,8/29/14 16:56,Transfer,Partner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow,36,8
A678627,Qwayzar,5/25/14 17:32,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico,1,5
A698117,,3/6/15 9:54,Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,White,0.2,3
A656110,Clover,11/22/13 17:54,Return_to_owner,,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor,9,11
A690723,Friskie,11/23/14 18:23,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White,2,11
A678099,Spartacus,6/10/15 17:23,Euthanasia,Aggressive,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White,24,6
A717989,Leroy,12/28/15 17:33,Return_to_owner,,Dog,Neutered Male,7 years,American Bulldog Mix,White,84,12
A673784,Severus,3/10/14 16:24,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Blue,4,3
A699927,Lennon,5/26/15 15:52,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby,120,5
A671889,Jezebel,2/27/14 16:04,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan,60,2
A697627,Lucy,3/1/15 16:13,Adoption,,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,Chocolate/White,24,3
A685945,Cody,9/20/14 15:37,Adoption,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White,60,9
A689951,Nelson,10/15/14 17:21,Adoption,,Cat,Neutered Male,5 months,Siamese Mix,Flame Point,5,10
A699499,,4/1/15 18:44,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White,12,4
A715735,Nico,11/13/15 12:59,Transfer,Partner,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan,12,11
A688501,Watson,12/18/14 13:35,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black,4,12
A672263,Daisy,2/13/14 17:05,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan,24,2
A672744,Oso,4/17/14 17:09,Euthanasia,Aggressive,Dog,Intact Male,3 years,Rottweiler Mix,Black/Tan,36,4
A701165,,4/24/15 17:47,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue,1,4
A702973,,5/19/15 18:49,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,0.75,5
A705338,,6/17/15 12:27,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,0.75,6
A696609,Lizzy,7/11/15 13:49,Transfer,Partner,Dog,Spayed Female,2 years,Labrador Retriever,Black,24,7
A714481,Bobby,11/8/15 19:10,Adoption,,Dog,Neutered Male,1 year,Boxer Mix,Brown/White,12,11
A685178,,8/3/14 17:47,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby,0.5,8
A689596,,10/10/14 14:05,Adoption,,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,White/Tan,24,10
A714546,Blaze,10/26/15 12:43,Return_to_owner,,Dog,Intact Male,9 months,Pit Bull/Dogue De Bordeaux,Red/White,9,10
A671352,Roman,1/26/14 15:19,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Brown,36,1
A705656,Rasberry,6/26/15 9:42,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,1,6
A695943,Tucker,2/8/15 14:55,Adoption,,Dog,Neutered Male,2 years,Bernese Mountain Dog/Rottweiler,Tricolor,24,2
A719517,,1/26/16 19:01,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,24,1
A682535,,7/4/14 18:42,Transfer,Partner,Dog,Neutered Male,4 months,Plott Hound Mix,Brown Brindle/Red Tick,4,7
A713263,Houston,10/16/15 17:24,Return_to_owner,,Dog,Intact Male,3 years,English Bulldog,Brown Brindle,36,10
A681679,Captain,12/5/14 17:10,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White,12,12
A687906,Kerby,9/25/14 18:48,Transfer,Partner,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White,1,9
A678536,Tulip,5/17/14 13:44,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown,12,5
A718585,,1/7/16 12:44,Transfer,Partner,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan,2,1
A543073,Tiny Tinker,5/11/15 18:38,Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair,Brown,108,5
A697959,Nigel,5/31/15 18:53,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Brown,24,5
A715378,Sadie,11/21/15 11:17,Adoption,,Dog,Spayed Female,6 months,Pointer Mix,White/Blue,6,11
A697281,,3/3/15 13:14,Adoption,,Dog,Neutered Male,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor,3,3
A681576,Pippin,7/7/14 16:52,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Chocolate/White,1,7
A716400,Calliope,11/24/15 0:00,Transfer,Partner,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Tan,12,11
A677460,Petra,5/16/14 14:58,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,24,5
A675049,Judy,3/22/14 16:23,Return_to_owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,36,3
A710655,Cloud,10/10/15 14:30,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Lilac Point,2,10
A660046,Grace,3/9/14 17:06,Return_to_owner,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White,24,3
A660910,Kief,10/24/13 12:31,Return_to_owner,,Dog,Neutered Male,2 years,Dachshund/Catahoula,Brown Brindle/White,24,10
A686377,,8/25/14 17:01,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Brown/Black,2,8
A679631,Callie,7/14/14 18:08,Euthanasia,Suffering,Cat,Spayed Female,12 years,Domestic Longhair Mix,Tortie,144,7
A671682,,1/30/14 13:14,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue,24,1
A695654,Asha,1/27/15 14:06,Euthanasia,Suffering,Dog,Intact Female,8 months,Labrador Retriever Mix,Black,8,1
A718566,Eleonora,1/12/16 9:30,Euthanasia,Suffering,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White,120,1
A680351,Oliver,7/7/14 15:39,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby,2,7
A680506,Shaka,6/7/14 17:09,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff/White,3,6
A650694,Riku,12/18/13 14:04,Return_to_owner,,Dog,Neutered Male,1 year,Blue Lacy/Pit Bull,Blue/White,12,12
A681414,,6/18/14 9:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,24,6
A714972,Dennis,11/29/15 19:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,2,11
A682833,Nala,9/13/14 18:35,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Lilac Point,3,9
A698953,,3/25/15 17:17,Adoption,,Dog,Spayed Female,7 years,Miniature Poodle Mix,White,84,3
A696584,Pequina,3/7/15 15:46,Adoption,,Dog,Spayed Female,2 years,Dachshund Mix,Brown,24,3
A690020,Jax,10/15/14 18:25,Return_to_owner,,Dog,Intact Female,4 months,Boxer Mix,Brown Brindle/White,4,10
